model,question_var,persona_k,valid_answers,total_personas,jsd
chatgpt,tr3cgmnz,16,266,266,0.3125166537290635
chatgpt,tr3bcraz,16,266,266,0.2077965451888269
chatgpt,qfnrincr,16,266,266,0.454963769023566
chatgpt,q4samesm,16,266,266,0.399390738476535
chatgpt,op7gdevo,16,266,266,0.2563879495987347
chatgpt,q7wwhhx,16,266,266,0.243950096976883
chatgpt,q7jbmmcc,16,266,266,0.3128582718629062
chatgpt,q7mgcc,16,266,266,0.3812155026680183
chatgpt,q5gveqaa,16,266,266,0.5159834669381292
chatgpt,opincdif,16,266,266,0.5113529538539083
chatgpt,opnucpol,16,266,266,0.3988949519376679
chatgpt,stalllf,16,266,266,0.2043747038257986
chatgpt,nofutr,16,266,266,0.3342702179456034
chatgpt,sfmhdprs,16,266,266,0.4124503274791266
chatgpt,op5happz,16,266,266,0.263906823456794
chatgpt,opnbmtcn,16,266,266,0.2098228135297581
chatgpt,wllive,16,266,266,0.1859050518479639
chatgpt,mempltgp,16,266,266,0.0867439375246128
chatgpt,op4trust,8,266,266,0.2713537728623298
chatgpt,tr3cgmnz,8,266,266,0.2537234172116153
chatgpt,tr3bcraz,8,266,266,0.1777320691120689
chatgpt,qfnrincr,8,266,266,0.4320388731954203
chatgpt,q4samesm,8,266,266,0.3683824420544066
chatgpt,op7gdevo,8,266,266,0.3744476630538822
chatgpt,q7wwhhx,8,266,266,0.1689442533881253
chatgpt,q7jbmmcc,8,266,266,0.271239397152789
chatgpt,q7mgcc,8,266,266,0.4752758482395662
chatgpt,q5gveqaa,8,266,266,0.4840744094332248
chatgpt,opincdif,8,266,266,0.5317127112356826
chatgpt,opnucpol,8,266,266,0.4598518629206435
chatgpt,stalllf,8,266,266,0.3302916707749309
chatgpt,nofutr,8,266,266,0.2491065315530617
chatgpt,sfmhdprs,8,266,266,0.5185912840087266
chatgpt,op5happz,8,266,266,0.6136051218459139
chatgpt,opnbmtcn,8,266,266,0.383050506887252
chatgpt,wllive,8,266,266,0.3144639188844059
chatgpt,mempltgp,8,266,266,0.0172067307181251
chatgpt,op4trust,2,266,266,0.3349492906981749
chatgpt,tr3cgmnz,2,266,266,0.2349769291063206
chatgpt,tr3bcraz,2,266,266,0.1891001640936372
chatgpt,qfnrincr,2,266,266,0.4648558084610034
chatgpt,q4samesm,2,266,266,0.2828341050960482
chatgpt,op7gdevo,2,266,266,0.3833871978454568
chatgpt,q7wwhhx,2,266,266,0.2868128372569746
chatgpt,q7jbmmcc,2,266,266,0.2686312674259306
chatgpt,q7mgcc,2,266,266,0.4735797922701091
chatgpt,q5gveqaa,2,266,266,0.5403355368722335
chatgpt,opincdif,2,266,266,0.5639739961202612
chatgpt,opnucpol,2,266,266,0.4204673339195673
chatgpt,stalllf,2,266,266,0.3381386620977133
chatgpt,nofutr,2,266,266,0.3061897763126171
chatgpt,sfmhdprs,2,266,266,0.4890806388516276
chatgpt,op5happz,2,266,266,0.6163513188892599
chatgpt,opnbmtcn,2,266,266,0.473088995167703
chatgpt,wllive,2,266,266,0.3293367774148681
chatgpt,mempltgp,2,266,266,0.0908506842159559
llama_base_8b,op4trust,2,266,266,0.2852440724913145
llama_base_8b,tr3cgmnz,2,266,266,0.1352771473243113
llama_base_8b,tr3bcraz,2,266,266,0.2695567858015713
llama_base_8b,qfnrincr,2,266,266,0.077001560047533
llama_base_8b,q4samesm,2,266,266,0.1511645141590932
llama_base_8b,op7gdevo,2,266,266,0.1204006443830901
llama_base_8b,q7wwhhx,2,266,266,0.3055721603427425
llama_base_8b,q7jbmmcc,2,266,266,0.2567321141964881
llama_base_8b,q7mgcc,2,266,266,0.5640555374446747
llama_base_8b,q5gveqaa,2,266,266,0.1892833824910948
llama_base_8b,opincdif,2,266,266,0.4352585345550918
llama_base_8b,opnucpol,2,266,266,0.2905145411710684
llama_base_8b,stalllf,2,266,266,0.2605170193865109
llama_base_8b,nofutr,2,266,266,0.139216121519048
llama_base_8b,sfmhdprs,2,266,266,0.2294406157594527
llama_base_8b,op5happz,2,266,266,0.310289827266552
llama_base_8b,opnbmtcn,2,266,266,0.2147871328200724
llama_base_8b,wllive,2,266,266,0.1555691712610329
llama_base_8b,mempltgp,2,266,266,0.0867439375246128
llama_base_8b,op4trust,8,266,266,0.3217206748211442
llama_base_8b,tr3cgmnz,8,266,266,0.1475179147437393
llama_base_8b,tr3bcraz,8,266,266,0.2397657994208668
llama_base_8b,qfnrincr,8,266,266,0.1008134407544107
llama_base_8b,q4samesm,8,266,266,0.211785985667593
llama_base_8b,op7gdevo,8,266,266,0.1319377487058973
llama_base_8b,q7wwhhx,8,266,266,0.260812102037635
llama_base_8b,q7jbmmcc,8,266,266,0.2848695492113415
llama_base_8b,q7mgcc,8,266,266,0.5735755328447258
llama_base_8b,q5gveqaa,8,266,266,0.1613320728843425
llama_base_8b,opincdif,8,266,266,0.3679905753433352
llama_base_8b,opnucpol,8,266,266,0.3971847431712482
llama_base_8b,stalllf,8,266,266,0.1646974119877154
llama_base_8b,nofutr,8,266,266,0.1137734601700372
llama_base_8b,sfmhdprs,8,266,266,0.3262970626766106
llama_base_8b,op5happz,8,266,266,0.2872233735803317
llama_base_8b,opnbmtcn,8,266,266,0.1994324702607647
llama_base_8b,wllive,8,266,266,0.1385724482642049
llama_base_8b,mempltgp,8,266,266,0.0590966232003427
llama_base_8b,op4trust,16,266,266,0.3152689268654282
llama_base_8b,tr3cgmnz,16,266,266,0.14285569151507238
llama_base_8b,tr3bcraz,16,266,266,0.22565933204746313
llama_base_8b,qfnrincr,16,266,266,0.05673040551316476
llama_base_8b,q4samesm,16,266,266,0.16801597263055476
llama_base_8b,op7gdevo,16,266,266,0.07986960776791555
llama_base_8b,q7wwhhx,16,266,266,0.2939218989611475
llama_base_8b,q7jbmmcc,16,266,266,0.21539675538111408
llama_base_8b,q7mgcc,16,266,266,0.5817884488599556
llama_base_8b,q5gveqaa,16,266,266,0.14702932616233313
llama_base_8b,opincdif,16,266,266,0.32346766442656355
llama_base_8b,opnucpol,16,266,266,0.4466677324350254
llama_base_8b,stalllf,16,266,266,0.20258020425769127
llama_base_8b,nofutr,16,266,266,0.16672812279736837
llama_base_8b,sfmhdprs,16,266,266,0.3845016293468636
llama_base_8b,op5happz,16,266,266,0.18301110775368423
llama_base_8b,opnbmtcn,16,266,266,0.2501716634210571
llama_base_8b,wllive,16,266,266,0.06311547701819847
llama_base_8b,mempltgp,16,266,266,0.08674393752461283
